,don_id,ppe,date,qty
0,don912,surgicalMasks,2020-06-26 04:29:48.845000+00:00,280.0
1,don917,handmadeMasks,2020-06-29 02:52:19.974000+00:00,50.0
2,don918,faceShields,2020-06-30 03:40:10.639000+00:00,5.0
3,don919,handmadeMasks,2020-06-30 19:34:47.936000+00:00,10.0
4,don920,handmadeMasks,2020-07-01 01:51:12.174000+00:00,1000.0
5,don921,handmadeMasks,2020-07-01 04:52:31.037000+00:00,50.0
6,don922,surgicalMasks,2020-07-01 05:21:47.026000+00:00,50.0
7,don923,handmadeMasks,2020-07-01 17:16:57.020000+00:00,20.0
8,don924,respirators,2020-07-02 06:39:38.200000+00:00,3.0
9,don925,surgicalMasks,2020-07-02 13:02:36.635000+00:00,1000.0
