,don_id,rec_id,distance
0,don912,rec1037,1393.7514999999999
1,don912,rec1038,1646.1675
2,don912,rec1048,1574.7820000000002
3,don912,rec1050,1393.7514999999999
4,don912,rec1052,1500.7305000000001
5,don912,rec106,1428.569
6,don912,rec1070,1361.0639999999999
7,don912,rec1074,1393.7514999999999
8,don912,rec1075,708.585
9,don912,rec1076,1609.719
10,don912,rec1077,1609.719
11,don912,rec1078,257.8485
12,don912,rec1079,958.2555
13,don912,rec1080,1361.0639999999999
14,don912,rec1081,1609.719
15,don912,rec1082,937.9275
16,don912,rec1083,685.0084999999999
17,don912,rec1085,659.2950000000001
18,don912,rec1087,1609.719
19,don912,rec1088,1057.0585
20,don912,rec1089,708.585
21,don912,rec1090,635.801
22,don912,rec1091,230.40949999999998
23,don912,rec1093,387.0505
24,don912,rec1094,1609.719
25,don912,rec1095,1574.7820000000002
26,don912,rec1097,980.8045
27,don912,rec1098,1393.7514999999999
28,don912,rec1100,823.6755
29,don912,rec1101,1326.1255
30,don912,rec1102,1893.2645
31,don912,rec1103,411.125
32,don912,rec1104,1574.7820000000002
33,don912,rec1106,1609.719
34,don912,rec1107,937.9275
35,don912,rec1108,937.9275
36,don912,rec1109,685.0084999999999
37,don912,rec1110,1646.1675
38,don912,rec1111,1428.569
39,don912,rec1112,1500.7305000000001
40,don912,rec1113,1280.471
41,don912,rec1114,1574.7820000000002
42,don912,rec1115,916.9045
43,don912,rec1116,866.1279999999999
44,don912,rec1118,659.2950000000001
45,don912,rec1119,937.9275
46,don912,rec1120,980.8045
47,don912,rec1121,1851.429
48,don912,rec1122,800.7660000000001
49,don912,rec1123,800.7660000000001
50,don912,rec1124,1117.795
51,don912,rec1125,1609.719
52,don912,rec1126,1361.0639999999999
53,don912,rec1127,1057.0585
54,don912,rec1128,916.9045
55,don912,rec1130,708.585
56,don912,rec1131,411.125
57,don912,rec1132,635.801
58,don912,rec1133,1609.719
59,don912,rec1134,230.40949999999998
60,don912,rec1136,1213.853
61,don912,rec1138,1609.719
62,don912,rec1139,1393.7514999999999
63,don912,rec1140,439.467
64,don912,rec1141,823.6755
65,don912,rec1143,958.2555
66,don912,rec1144,1609.719
67,don912,rec1145,1361.0639999999999
68,don912,rec1146,1361.0639999999999
69,don912,rec1147,937.9275
70,don912,rec1149,1361.0639999999999
71,don912,rec1151,1893.2645
72,don912,rec1152,685.0084999999999
73,don912,rec1153,937.9275
74,don912,rec1154,1393.7514999999999
75,don912,rec1155,1574.7820000000002
76,don912,rec1156,1500.7305000000001
77,don912,rec1157,866.1279999999999
78,don912,rec1159,1500.7305000000001
79,don912,rec1160,1851.429
80,don912,rec1161,727.3615
81,don912,rec1162,800.7660000000001
82,don912,rec1163,916.9045
83,don912,rec1164,1361.0639999999999
84,don912,rec1165,1428.569
85,don912,rec1166,1213.853
86,don912,rec1167,1609.719
87,don912,rec1168,439.467
88,don912,rec1169,1537.2215
89,don912,rec1170,685.0084999999999
90,don912,rec1171,1500.7305000000001
91,don912,rec1172,1428.569
92,don912,rec1174,1537.2215
93,don912,rec1175,1393.7514999999999
94,don912,rec1176,1646.1675
95,don912,rec1177,1393.7514999999999
96,don912,rec1178,1213.853
97,don912,rec1179,1609.719
98,don912,rec1180,958.2555
99,don912,rec1182,146.46300000000002
100,don912,rec1183,146.46300000000002
101,don912,rec1184,1326.1255
102,don912,rec1185,866.1279999999999
103,don912,rec1186,1609.719
104,don912,rec1187,1361.0639999999999
105,don912,rec1188,635.801
106,don912,rec1189,1153.0394999999999
107,don912,rec1190,1057.0585
108,don912,rec1191,747.8325
109,don912,rec1192,685.0084999999999
110,don912,rec1194,1326.1255
111,don912,rec1195,1086.496
112,don912,rec1196,1810.382
113,don912,rec1197,1213.853
114,don912,rec1198,1574.7820000000002
115,don912,rec1199,1280.471
116,don912,rec1201,1646.1675
117,don912,rec1202,1361.0639999999999
118,don912,rec1203,866.1279999999999
119,don912,rec1204,287.5555
120,don912,rec1205,1361.0639999999999
121,don912,rec1206,1086.496
122,don912,rec1207,1537.2215
123,don912,rec1208,937.9275
124,don912,rec1209,1574.7820000000002
125,don912,rec1210,958.2555
126,don912,rec1211,612.837
127,don912,rec1212,1574.7820000000002
128,don912,rec1214,1930.853
129,don912,rec1215,843.505
130,don912,rec1216,1428.569
131,don912,rec1217,1361.0639999999999
132,don912,rec1218,916.9045
133,don912,rec1219,1393.7514999999999
134,don912,rec1220,866.1279999999999
135,don912,rec1221,916.9045
136,don912,rec1222,1117.795
137,don912,rec1224,1213.853
138,don912,rec1225,1609.719
139,don912,rec1226,1057.0585
140,don912,rec1227,13.9625
141,don912,rec1229,13.9625
142,don912,rec1230,892.107
143,don912,rec1231,1057.0585
144,don912,rec1233,1213.853
145,don912,rec1236,1428.569
146,don912,rec1237,1609.719
147,don912,rec1238,13.9625
148,don912,rec1240,1326.1255
149,don912,rec1241,1361.0639999999999
150,don912,rec1242,1213.853
151,don912,rec1243,1241.0365000000002
152,don912,rec1244,1361.0639999999999
153,don912,rec1245,230.40949999999998
154,don912,rec1246,1609.719
155,don912,rec1248,21.814500000000002
156,don912,rec1249,958.2555
157,don912,rec1250,1213.853
158,don912,rec1251,866.1279999999999
159,don912,rec1252,1326.1255
160,don912,rec1253,980.8045
161,don912,rec1254,823.6755
162,don912,rec1255,823.6755
163,don912,rec1256,470.42600000000004
164,don912,rec1257,1186.5075000000002
165,don912,rec1258,1326.1255
166,don912,rec1259,1057.0585
167,don912,rec1260,1361.0639999999999
168,don912,rec1263,1464.1484999999998
169,don912,rec1264,1213.853
170,don912,rec1265,1428.569
171,don912,rec1266,1241.0365000000002
172,don912,rec1267,1241.0365000000002
173,don912,rec1268,1326.1255
174,don912,rec127,937.9275
175,don912,rec1270,937.9275
176,don912,rec1271,1057.0585
177,don912,rec1272,958.2555
178,don912,rec1273,1326.1255
179,don912,rec1274,1609.719
180,don912,rec1275,937.9275
181,don912,rec1277,1326.1255
182,don912,rec1278,1893.2645
183,don912,rec1279,1326.1255
184,don912,rec1280,937.9275
185,don912,rec1281,958.2555
186,don912,rec1282,1646.1675
187,don912,rec1283,1646.1675
188,don912,rec1284,1893.2645
189,don912,rec1285,146.46300000000002
190,don912,rec1286,612.837
191,don912,rec1288,1428.569
192,don912,rec1289,685.0084999999999
193,don912,rec1290,635.801
194,don912,rec1291,1609.719
195,don912,rec1292,866.1279999999999
196,don912,rec1293,1361.0639999999999
197,don912,rec1294,1213.853
198,don912,rec1295,866.1279999999999
199,don912,rec1296,747.8325
200,don912,rec1297,1646.1675
201,don912,rec1298,1057.0585
202,don912,rec1299,1326.1255
203,don912,rec1300,1153.0394999999999
204,don912,rec1301,1361.0639999999999
205,don912,rec1302,1574.7820000000002
206,don912,rec1303,1086.496
207,don912,rec1304,1280.471
208,don912,rec1305,843.505
209,don912,rec1306,1361.0639999999999
210,don912,rec1307,958.2555
211,don912,rec1308,1086.496
212,don912,rec1309,1213.853
213,don912,rec1310,1057.0585
214,don912,rec1311,287.5555
215,don912,rec1312,916.9045
216,don912,rec1313,1057.0585
217,don912,rec1314,866.1279999999999
218,don912,rec1315,1361.0639999999999
219,don912,rec1318,470.42600000000004
220,don912,rec1320,1930.853
221,don912,rec1321,1393.7514999999999
222,don912,rec1322,1609.719
223,don912,rec1323,1609.719
224,don912,rec1324,1428.569
225,don912,rec1325,1213.853
226,don912,rec1326,1326.1255
227,don912,rec1328,1029.376
228,don912,rec1329,866.1279999999999
229,don912,rec133,31.4605
230,don912,rec1330,1361.0639999999999
231,don912,rec1331,1241.0365000000002
232,don912,rec1332,1393.7514999999999
233,don912,rec1333,1646.1675
234,don912,rec1334,1213.853
235,don912,rec1336,1609.719
236,don912,rec1337,1186.5075000000002
237,don912,rec1338,1004.607
238,don912,rec1339,1057.0585
239,don912,rec1342,1428.569
240,don912,rec1343,1326.1255
241,don912,rec1344,1029.376
242,don912,rec1345,1326.1255
243,don912,rec1346,1361.0639999999999
244,don912,rec1347,1057.0585
245,don912,rec1348,1646.1675
246,don912,rec1349,1326.1255
247,don912,rec1350,937.9275
248,don912,rec1351,1893.2645
249,don912,rec1353,1500.7305000000001
250,don912,rec1354,937.9275
251,don912,rec1355,1646.1675
252,don912,rec1356,1893.2645
253,don912,rec1357,1646.1675
254,don912,rec1358,1500.7305000000001
255,don912,rec1359,1930.853
256,don912,rec1360,1646.1675
257,don912,rec1361,1029.376
258,don912,rec1362,1393.7514999999999
259,don912,rec1363,1004.607
260,don912,rec1364,866.1279999999999
261,don912,rec1365,1029.376
262,don912,rec1366,1361.0639999999999
263,don912,rec1367,1500.7305000000001
264,don912,rec1368,958.2555
265,don912,rec1369,866.1279999999999
266,don912,rec1370,1428.569
267,don912,rec1371,1326.1255
268,don912,rec1373,563.1355
269,don912,rec1375,866.1279999999999
270,don912,rec1376,937.9275
271,don912,rec1377,1004.607
272,don912,rec1378,1428.569
273,don912,rec1379,1574.7820000000002
274,don912,rec1380,1574.7820000000002
275,don912,rec1381,1500.7305000000001
276,don912,rec1382,685.0084999999999
277,don912,rec1383,1537.2215
278,don912,rec1384,209.404
279,don912,rec1385,1609.719
280,don912,rec1386,937.9275
281,don912,rec1387,823.6755
282,don912,rec1388,1646.1675
283,don912,rec1390,1361.0639999999999
284,don912,rec1391,470.42600000000004
285,don912,rec1392,1361.0639999999999
286,don912,rec1393,1361.0639999999999
287,don912,rec1394,800.7660000000001
288,don912,rec1395,1393.7514999999999
289,don912,rec1398,1393.7514999999999
290,don912,rec1399,866.1279999999999
291,don912,rec1400,1326.1255
292,don912,rec1401,1057.0585
293,don912,rec1402,171.4935
294,don912,rec1403,1428.569
295,don912,rec1404,937.9275
296,don912,rec1405,1428.569
297,don912,rec1407,685.0084999999999
298,don912,rec1408,411.125
299,don912,rec1411,1574.7820000000002
300,don912,rec1412,1574.7820000000002
301,don912,rec1413,1537.2215
302,don912,rec1414,1428.569
303,don912,rec1416,1280.471
304,don912,rec1417,1280.471
305,don912,rec1418,1213.853
306,don912,rec1419,1537.2215
307,don912,rec1420,1117.795
308,don912,rec1421,1213.853
309,don912,rec1422,1086.496
310,don912,rec1423,1609.719
311,don912,rec1424,146.46300000000002
312,don912,rec1425,1004.607
313,don912,rec1427,659.2950000000001
314,don912,rec1428,45.4975
315,don912,rec1429,958.2555
316,don912,rec1430,287.5555
317,don912,rec1432,1153.0394999999999
318,don912,rec1433,1428.569
319,don912,rec1434,1326.1255
320,don912,rec1435,1213.853
321,don912,rec1436,1393.7514999999999
322,don912,rec1437,685.0084999999999
323,don912,rec1438,1213.853
324,don912,rec144,1280.471
325,don912,rec1440,1057.0585
326,don912,rec1441,230.40949999999998
327,don912,rec1442,892.107
328,don912,rec1443,1326.1255
329,don912,rec1444,1004.607
330,don912,rec1445,1609.719
331,don912,rec1446,1086.496
332,don912,rec1447,257.8485
333,don912,rec1450,1213.853
334,don912,rec1451,1326.1255
335,don912,rec1452,937.9275
336,don912,rec1453,1241.0365000000002
337,don912,rec1454,1117.795
