,don_id,rec_id,ppe,qty,date,distance
0,don917,rec1004,handmadeMasks,50.0,2020-07-02 16:26:00+00:00,117.8545
1,don919,rec1009,handmadeMasks,10.0,2020-07-02 16:26:00+00:00,589.607
2,don920,rec1038,handmadeMasks,333.0,2020-07-02 16:26:00+00:00,348.2025
3,don921,rec1052,handmadeMasks,50.0,2020-07-02 16:26:00+00:00,2380.3495
4,don923,rec1093,handmadeMasks,20.0,2020-07-02 16:26:00+00:00,1117.795
5,don912,rec1037,surgicalMasks,280.0,2020-07-02 16:26:00+00:00,1393.7514999999999
6,don922,rec1038,surgicalMasks,50.0,2020-07-02 16:26:00+00:00,366.27750000000003
7,don925,rec1048,surgicalMasks,1000.0,2020-07-02 16:26:00+00:00,146.46300000000002
8,don918,rec0,faceShields,5.0,2020-07-02 16:26:00+00:00,1464.1484999999998
9,don924,rec0,respirators,3.0,2020-07-02 16:26:00+00:00,5.1215
