,don_id,rec_id,distance
0,don904,rec1004,191.25650000000002
1,don904,rec1009,191.25650000000002
2,don904,rec1038,2721.855
3,don904,rec1052,2265.161
4,don904,rec1093,1464.1484999999998
5,don904,rec1103,1464.1484999999998
6,don904,rec1108,843.505
7,don904,rec1131,1464.1484999999998
8,don904,rec1134,1537.2215
9,don904,rec1140,1280.471
10,don904,rec115,1464.1484999999998
11,don904,rec1165,146.46300000000002
12,don904,rec1169,67.313
13,don904,rec1170,1029.376
14,don904,rec1174,67.313
15,don904,rec1176,2721.855
16,don904,rec1177,171.4935
17,don904,rec1194,257.8485
18,don904,rec120,146.46300000000002
19,don904,rec1207,45.4975
20,don904,rec121,92.1265
21,don904,rec1211,1029.376
22,don904,rec1219,171.4935
23,don904,rec1220,800.7660000000001
24,don904,rec1221,866.1279999999999
25,don904,rec1222,470.42600000000004
26,don904,rec1231,2265.161
27,don904,rec1233,2356.1324999999997
28,don904,rec1237,2608.4265
29,don904,rec1239,685.0084999999999
30,don904,rec124,589.607
31,don904,rec1248,1609.719
32,don904,rec1250,366.27750000000003
33,don904,rec1251,800.7660000000001
34,don904,rec1253,1213.853
35,don904,rec1254,866.1279999999999
36,don904,rec1256,1771.381
37,don904,rec1257,387.0505
38,don904,rec1263,117.8545
39,don904,rec127,843.505
40,don904,rec1271,1117.795
41,don904,rec1279,230.40949999999998
42,don904,rec1280,843.505
43,don904,rec1283,2721.855
44,don904,rec1286,1029.376
45,don904,rec1287,2578.38
46,don904,rec129,387.0505
47,don904,rec1293,2563.2325
48,don904,rec1296,1962.951
49,don904,rec13,916.9045
50,don904,rec130,1241.0365000000002
51,don904,rec1300,470.42600000000004
52,don904,rec1301,2578.38
53,don904,rec1302,5.1215
54,don904,rec1303,1117.795
55,don904,rec1310,2265.161
56,don904,rec1314,800.7660000000001
57,don904,rec1318,1771.381
58,don904,rec1320,2563.2325
59,don904,rec1321,171.4935
60,don904,rec1322,2608.4265
61,don904,rec1325,2356.1324999999997
62,don904,rec1326,2525.0110000000004
63,don904,rec1327,685.0084999999999
64,don904,rec1329,800.7660000000001
65,don904,rec133,1574.7820000000002
66,don904,rec1333,2721.855
67,don904,rec1334,366.27750000000003
68,don904,rec1337,387.0505
69,don904,rec1338,2265.161
70,don904,rec134,1117.795
71,don904,rec1346,2563.2325
72,don904,rec1347,1117.795
73,don904,rec1353,2578.38
74,don904,rec1354,843.505
75,don904,rec1357,2721.855
76,don904,rec1359,2563.2325
77,don904,rec1360,2721.855
78,don904,rec1363,2265.161
79,don904,rec1366,2563.2325
80,don904,rec1367,2578.38
81,don904,rec1377,2265.161
82,don904,rec1379,31.4605
83,don904,rec1380,31.4605
84,don904,rec1383,209.404
85,don904,rec1384,1741.351
86,don904,rec1385,2721.855
87,don904,rec1387,773.424
88,don904,rec1389,843.505
89,don904,rec1390,2578.38
90,don904,rec1391,1117.795
91,don904,rec1395,191.25650000000002
92,don904,rec1399,800.7660000000001
93,don904,rec1400,2525.0110000000004
94,don904,rec1401,1086.496
95,don904,rec1404,685.0084999999999
96,don904,rec1405,146.46300000000002
97,don904,rec1407,1029.376
98,don904,rec1408,1213.853
99,don904,rec1409,1213.853
100,don904,rec1411,31.4605
101,don904,rec1412,31.4605
102,don904,rec1414,146.46300000000002
103,don904,rec1415,843.505
104,don904,rec1416,2525.0110000000004
105,don904,rec1417,287.5555
106,don904,rec1418,366.27750000000003
107,don904,rec1420,589.607
108,don904,rec1421,366.27750000000003
109,don904,rec1424,1687.427
110,don904,rec1425,612.837
111,don904,rec1427,916.9045
112,don904,rec1428,1574.7820000000002
113,don904,rec1429,1213.853
114,don904,rec143,348.2025
115,don904,rec1430,1574.7820000000002
116,don904,rec1431,589.607
117,don904,rec1432,439.467
118,don904,rec1433,146.46300000000002
119,don904,rec1435,366.27750000000003
120,don904,rec1436,2578.38
121,don904,rec1437,1029.376
122,don904,rec1438,1241.0365000000002
123,don904,rec1440,1117.795
124,don904,rec1443,257.8485
125,don904,rec1444,589.607
126,don904,rec1445,2721.855
127,don904,rec1446,685.0084999999999
128,don904,rec1447,1361.0639999999999
129,don904,rec1450,366.27750000000003
130,don904,rec1451,2563.2325
131,don904,rec1454,533.5989999999999
132,don904,rec1456,1086.496
133,don904,rec1457,2721.855
134,don904,rec1458,1213.853
135,don904,rec1459,1029.376
136,don904,rec1461,773.424
137,don904,rec1463,1186.5075000000002
138,don904,rec1467,2608.4265
139,don904,rec1470,2525.0110000000004
140,don904,rec1471,1153.0394999999999
141,don904,rec1473,1741.351
142,don904,rec1475,1241.0365000000002
143,don904,rec1477,727.3615
144,don904,rec1478,171.4935
145,don904,rec1479,2496.931
146,don904,rec148,958.2555
147,don904,rec1482,2548.16
148,don904,rec1483,92.1265
149,don904,rec1485,1153.0394999999999
150,don904,rec1486,1537.2215
151,don904,rec1488,2721.855
152,don904,rec1489,612.837
153,don904,rec1490,1086.496
154,don904,rec1491,866.1279999999999
155,don904,rec1493,2721.855
156,don904,rec1495,1186.5075000000002
157,don904,rec1498,470.42600000000004
158,don904,rec1499,2578.38
159,don904,rec15,708.585
160,don904,rec1500,2356.1324999999997
161,don904,rec1502,92.1265
162,don904,rec1503,659.2950000000001
163,don904,rec1504,2548.16
164,don904,rec1505,958.2555
165,don904,rec1509,1057.0585
166,don904,rec151,1186.5075000000002
167,don904,rec1510,2230.676
168,don904,rec1513,2721.855
169,don904,rec1514,2608.4265
170,don904,rec1515,2721.855
171,don904,rec1516,2578.38
172,don904,rec1518,2608.4265
173,don904,rec1519,2578.38
174,don904,rec1520,2578.38
175,don904,rec1521,892.107
176,don904,rec1522,2525.0110000000004
177,don904,rec1523,2563.2325
178,don904,rec1524,171.4935
179,don904,rec1529,2721.855
180,don904,rec153,171.4935
181,don904,rec1530,2563.2325
182,don904,rec1532,2721.855
183,don904,rec1533,1574.7820000000002
184,don904,rec1535,1741.351
185,don904,rec1536,1574.7820000000002
186,don904,rec1539,1153.0394999999999
187,don904,rec154,892.107
188,don904,rec1540,146.46300000000002
189,don904,rec1542,2578.38
190,don904,rec1543,171.4935
191,don904,rec1544,331.023
192,don904,rec1546,1186.5075000000002
193,don904,rec1548,2002.767
194,don904,rec1549,387.0505
195,don904,rec155,257.8485
196,don904,rec1551,331.023
197,don904,rec1552,171.4935
198,don904,rec1553,2563.2325
199,don904,rec1554,1741.351
200,don904,rec1555,146.46300000000002
201,don904,rec1556,1086.496
202,don904,rec1559,916.9045
203,don904,rec1560,533.5989999999999
204,don904,rec1561,980.8045
205,don904,rec1562,533.5989999999999
206,don904,rec1563,800.7660000000001
207,don904,rec1565,171.4935
208,don904,rec1568,612.837
209,don904,rec157,2578.38
210,don904,rec1577,1537.2215
211,don904,rec1579,1500.7305000000001
212,don904,rec1580,1741.351
213,don904,rec1581,1029.376
214,don904,rec1583,5.1215
215,don904,rec1585,2721.855
216,don904,rec1587,589.607
217,don904,rec1588,727.3615
218,don904,rec1589,1029.376
219,don904,rec1593,5.1215
220,don904,rec1595,892.107
221,don904,rec1597,2721.855
222,don904,rec1599,1213.853
223,don904,rec160,589.607
224,don904,rec1600,2330.167
225,don904,rec1601,1153.0394999999999
226,don904,rec1604,1574.7820000000002
227,don904,rec1605,843.505
228,don904,rec1607,92.1265
229,don904,rec1608,2721.855
230,don904,rec1609,1153.0394999999999
231,don904,rec161,937.9275
232,don904,rec1611,1186.5075000000002
233,don904,rec1612,533.5989999999999
234,don904,rec1615,1086.496
235,don904,rec1616,171.4935
236,don904,rec1617,1609.719
237,don904,rec1619,1153.0394999999999
238,don904,rec162,257.8485
239,don904,rec1620,1537.2215
240,don904,rec1621,2563.2325
241,don904,rec1623,117.8545
242,don904,rec1625,171.4935
243,don904,rec1626,2563.2325
244,don904,rec1628,366.27750000000003
245,don904,rec1630,92.1265
246,don904,rec1631,2608.4265
247,don904,rec1632,1086.496
248,don904,rec1636,2002.767
249,don904,rec1639,2051.2335
250,don904,rec1640,146.46300000000002
251,don904,rec1641,2578.38
252,don904,rec1643,257.8485
253,don904,rec1644,1117.795
254,don904,rec1646,1153.0394999999999
255,don904,rec1649,843.505
256,don904,rec1650,117.8545
257,don904,rec1651,2608.4265
258,don904,rec1652,146.46300000000002
259,don904,rec1653,866.1279999999999
260,don904,rec1654,146.46300000000002
261,don904,rec1655,257.8485
262,don904,rec1657,2265.161
263,don904,rec1659,1609.719
264,don904,rec1660,2721.855
265,don904,rec1661,2496.931
266,don904,rec1662,2472.84
267,don904,rec1663,2525.0110000000004
268,don904,rec1664,1004.607
269,don904,rec1666,1771.381
270,don904,rec1667,230.40949999999998
271,don904,rec1669,2608.4265
272,don904,rec167,411.125
273,don904,rec1670,146.46300000000002
274,don904,rec1671,708.585
275,don904,rec1673,1153.0394999999999
276,don904,rec1674,916.9045
277,don904,rec1675,892.107
278,don904,rec1676,257.8485
279,don904,rec1677,171.4935
280,don904,rec1678,685.0084999999999
281,don904,rec1679,1241.0365000000002
282,don904,rec1680,1574.7820000000002
283,don904,rec1682,685.0084999999999
284,don904,rec1684,1086.496
285,don904,rec1685,1609.719
286,don904,rec1687,1213.853
287,don904,rec1689,257.8485
288,don904,rec169,366.27750000000003
289,don904,rec1690,387.0505
290,don904,rec1691,612.837
291,don904,rec1693,230.40949999999998
292,don904,rec1694,2578.38
293,don904,rec1695,892.107
294,don904,rec1697,980.8045
295,don904,rec1699,1537.2215
296,don904,rec170,230.40949999999998
297,don904,rec1701,1086.496
298,don904,rec1702,1153.0394999999999
299,don904,rec1703,2051.2335
300,don904,rec1704,31.4605
301,don904,rec1706,31.4605
302,don904,rec1708,2563.2325
303,don904,rec1709,146.46300000000002
304,don904,rec1711,171.4935
305,don904,rec1712,1326.1255
306,don904,rec1713,146.46300000000002
307,don904,rec1715,589.607
308,don904,rec1717,1646.1675
309,don904,rec1718,2578.38
310,don904,rec1721,843.505
311,don904,rec1722,659.2950000000001
312,don904,rec1724,146.46300000000002
313,don904,rec1728,439.467
314,don904,rec1729,1004.607
315,don904,rec173,1153.0394999999999
316,don904,rec1730,1361.0639999999999
317,don904,rec1732,2578.38
318,don904,rec1733,773.424
319,don904,rec1734,1057.0585
320,don904,rec1736,31.4605
321,don904,rec1737,2578.38
322,don904,rec1739,2608.4265
323,don904,rec1740,331.023
324,don904,rec1741,1186.5075000000002
325,don904,rec1742,892.107
326,don904,rec1743,1771.381
327,don904,rec1744,230.40949999999998
328,don904,rec1746,800.7660000000001
329,don904,rec1750,1213.853
330,don904,rec1751,366.27750000000003
331,don904,rec1752,2563.2325
332,don904,rec1754,2608.4265
333,don904,rec1755,800.7660000000001
334,don904,rec1756,2356.1324999999997
335,don904,rec1757,366.27750000000003
336,don904,rec1758,1153.0394999999999
337,don904,rec176,1057.0585
338,don904,rec1764,287.5555
339,don904,rec1765,2563.2325
340,don904,rec1766,230.40949999999998
341,don904,rec1769,843.505
342,don904,rec1771,1004.607
343,don904,rec1772,800.7660000000001
344,don904,rec1773,1117.795
345,don904,rec1775,1646.1675
346,don904,rec1778,1771.381
347,don904,rec1781,1153.0394999999999
348,don904,rec1782,2608.4265
349,don904,rec1784,1153.0394999999999
350,don904,rec1789,958.2555
351,don904,rec1790,843.505
352,don904,rec1791,92.1265
353,don904,rec1792,1574.7820000000002
354,don904,rec1793,146.46300000000002
355,don904,rec1794,1771.381
356,don904,rec1797,1029.376
357,don904,rec1798,470.42600000000004
358,don904,rec1799,1117.795
359,don904,rec180,1687.427
360,don904,rec1800,146.46300000000002
361,don904,rec1801,1029.376
362,don904,rec1803,2265.161
363,don904,rec1804,230.40949999999998
364,don904,rec1805,937.9275
365,don904,rec1806,916.9045
366,don904,rec1807,866.1279999999999
367,don904,rec1808,1213.853
368,don904,rec1810,1464.1484999999998
369,don904,rec1811,5.1215
370,don904,rec1813,146.46300000000002
371,don904,rec1814,866.1279999999999
372,don904,rec1815,892.107
373,don904,rec1816,685.0084999999999
374,don904,rec1818,1213.853
375,don904,rec1819,2608.4265
376,don904,rec182,1117.795
377,don904,rec1820,2721.855
378,don904,rec1822,146.46300000000002
379,don904,rec1823,1500.7305000000001
380,don904,rec1824,191.25650000000002
381,don904,rec1828,1213.853
382,don904,rec183,866.1279999999999
383,don904,rec1830,146.46300000000002
384,don904,rec1831,366.27750000000003
385,don904,rec1833,1186.5075000000002
386,don904,rec1834,635.801
387,don904,rec1835,1086.496
388,don904,rec1836,635.801
389,don904,rec1837,866.1279999999999
390,don904,rec1838,2356.1324999999997
391,don904,rec1839,2608.4265
392,don904,rec1840,1153.0394999999999
393,don904,rec1841,843.505
394,don904,rec1842,146.46300000000002
395,don904,rec1843,635.801
396,don904,rec1844,171.4935
397,don904,rec1845,348.2025
398,don904,rec1847,146.46300000000002
399,don904,rec1849,866.1279999999999
400,don904,rec1850,2578.38
401,don904,rec1851,635.801
402,don904,rec1859,1057.0585
