,don_id,rec_id,ppe,qty,date,distance
0,don907,rec1595,surgicalMasks,20.0,2020-06-25 16:26:00+00:00,5.1215
1,don908,rec3219,faceShields,2.0,2020-06-25 16:26:00+00:00,5.1215
2,don910,rec4232,faceShields,31.0,2020-06-25 16:26:00+00:00,5.1215
3,don911,rec2501,faceShields,100.0,2020-06-25 16:26:00+00:00,5.1215
4,don904,rec2522,handmadeMasks,40.0,2020-06-25 16:26:00+00:00,5.1215
5,don906,rec5350,handmadeMasks,2.0,2020-06-25 16:26:00+00:00,5.1215
6,don905,rec869,respirators,100.0,2020-06-25 16:26:00+00:00,5.1215
