,don_id,rec_id,ppe,qty,date,distance
0,don929,rec0,respirators,5.0,2020-07-09 16:26:00+00:00,2428.357
1,don936,rec1009,respirators,20.0,2020-07-09 16:26:00+00:00,31.4605
2,don946,rec101,respirators,40.0,2020-07-09 16:26:00+00:00,31.4605
3,don926,rec1004,handmadeMasks,10.0,2020-07-09 16:26:00+00:00,2307.6025
4,don927,rec1009,handmadeMasks,12.0,2020-07-09 16:26:00+00:00,2496.931
5,don930,rec1052,handmadeMasks,100.0,2020-07-09 16:26:00+00:00,2428.357
6,don932,rec1093,handmadeMasks,10.0,2020-07-09 16:26:00+00:00,1500.7305000000001
7,don937,rec1103,handmadeMasks,24.0,2020-07-09 16:26:00+00:00,387.0505
8,don938,rec1108,handmadeMasks,10.0,2020-07-09 16:26:00+00:00,1186.5075000000002
9,don941,rec1131,handmadeMasks,25.0,2020-07-09 16:26:00+00:00,958.2555
10,don947,rec1134,handmadeMasks,13.0,2020-07-09 16:26:00+00:00,1213.853
11,don950,rec1140,handmadeMasks,30.0,2020-07-09 16:26:00+00:00,1213.853
12,don951,rec115,handmadeMasks,11.0,2020-07-09 16:26:00+00:00,1361.0639999999999
13,don936,rec1037,surgicalMasks,30.0,2020-07-09 16:26:00+00:00,257.8485
14,don940,rec1038,surgicalMasks,741.0,2020-07-09 16:26:00+00:00,2472.84
15,don943,rec1048,surgicalMasks,200.0,2020-07-09 16:26:00+00:00,2472.84
16,don946,rec1050,surgicalMasks,50.0,2020-07-09 16:26:00+00:00,2525.0110000000004
17,don948,rec1052,surgicalMasks,1000.0,2020-07-09 16:26:00+00:00,45.4975
18,don949,rec106,surgicalMasks,13.0,2020-07-09 16:26:00+00:00,92.1265
19,don933,rec0,faceShields,30.0,2020-07-09 16:26:00+00:00,92.1265
20,don939,rec1007,faceShields,25.0,2020-07-09 16:26:00+00:00,533.5989999999999
21,don936,rec1004,disinfectingWipes,10.0,2020-07-09 16:26:00+00:00,13.9625
22,don942,rec3480,coveralls,10.0,2020-07-09 16:26:00+00:00,13.9625
