,don_id,rec_id,distance
0,don64,rec3720,2721.855
1,don64,rec3733,2380.3495
2,don64,rec3734,21.814500000000002
3,don64,rec3739,1428.569
4,don64,rec3749,331.023
5,don64,rec3750,331.023
6,don64,rec3759,2356.1324999999997
7,don64,rec3760,1810.382
8,don64,rec3767,13.9625
9,don64,rec3769,2127.9300000000003
10,don64,rec3793,331.023
11,don65,rec3720,823.6755
12,don65,rec3733,411.125
13,don65,rec3734,1962.951
14,don65,rec3739,747.8325
15,don65,rec3749,1810.382
16,don65,rec3750,1810.382
17,don65,rec3759,411.125
18,don65,rec3760,287.5555
19,don65,rec3767,1962.951
20,don65,rec3769,312.05600000000004
21,don65,rec3793,1810.382
22,don654,rec3720,2472.84
23,don654,rec3733,2356.1324999999997
24,don654,rec3734,685.0084999999999
25,don654,rec3739,1687.427
26,don654,rec3749,958.2555
27,don654,rec3750,958.2555
28,don654,rec3759,2330.167
29,don654,rec3760,1687.427
30,don654,rec3767,685.0084999999999
31,don654,rec3769,2190.6279999999997
32,don654,rec3793,958.2555
33,don657,rec3720,257.8485
34,don657,rec3733,366.27750000000003
35,don657,rec3734,2525.0110000000004
36,don657,rec3739,1326.1255
37,don657,rec3749,2380.3495
38,don657,rec3750,2380.3495
39,don657,rec3759,366.27750000000003
40,don657,rec3760,685.0084999999999
41,don657,rec3767,2496.931
42,don657,rec3769,659.2950000000001
43,don657,rec3793,2399.879
44,don658,rec3720,2548.16
45,don658,rec3733,2190.6279999999997
46,don658,rec3734,366.27750000000003
47,don658,rec3739,1186.5075000000002
48,don658,rec3749,21.814500000000002
49,don658,rec3750,21.814500000000002
50,don658,rec3759,2190.6279999999997
51,don658,rec3760,1687.427
52,don658,rec3767,366.27750000000003
53,don658,rec3769,1930.853
54,don658,rec3793,45.4975
55,don67,rec3720,533.5989999999999
56,don67,rec3733,411.125
57,don67,rec3734,2190.6279999999997
58,don67,rec3739,1029.376
59,don67,rec3749,2051.2335
60,don67,rec3750,2051.2335
61,don67,rec3759,387.0505
62,don67,rec3760,348.2025
63,don67,rec3767,2155.799
64,don67,rec3769,502.35350000000005
65,don67,rec3793,2051.2335
66,don676,rec3720,171.4935
67,don676,rec3733,439.467
68,don676,rec3734,2578.38
69,don676,rec3739,1393.7514999999999
70,don676,rec3749,2456.6575000000003
71,don676,rec3750,2456.6575000000003
72,don676,rec3759,439.467
73,don676,rec3760,747.8325
74,don676,rec3767,2563.2325
75,don676,rec3769,727.3615
76,don676,rec3793,2472.84
77,don68,rec3720,2456.6575000000003
78,don68,rec3733,2330.167
79,don68,rec3734,659.2950000000001
80,don68,rec3739,1646.1675
81,don68,rec3749,937.9275
82,don68,rec3750,937.9275
83,don68,rec3759,2307.6025
84,don68,rec3760,1687.427
85,don68,rec3767,659.2950000000001
86,don68,rec3769,2155.799
87,don68,rec3793,937.9275
88,don69,rec3720,209.404
89,don69,rec3733,411.125
90,don69,rec3734,2548.16
91,don69,rec3739,1361.0639999999999
92,don69,rec3749,2428.357
93,don69,rec3750,2428.357
94,don69,rec3759,411.125
95,don69,rec3760,708.585
96,don69,rec3767,2525.0110000000004
97,don69,rec3769,708.585
98,don69,rec3793,2438.295
99,don697,rec3720,1741.351
100,don697,rec3733,1213.853
101,don697,rec3734,1464.1484999999998
102,don697,rec3739,230.40949999999998
103,don697,rec3749,1186.5075000000002
104,don697,rec3750,1186.5075000000002
105,don697,rec3759,1213.853
106,don697,rec3760,1029.376
