,don_id,rec_id,ppe,qty,date,distance
0,don788,rec3776,disposableBooties,30.0,2020-05-21 16:26:00+00:00,21.814500000000002
1,don799,rec1194,disposableBooties,100.0,2020-05-21 16:26:00+00:00,5.1215
2,don773,rec580,nitrileGloves,100.0,2020-05-21 16:26:00+00:00,5.1215
3,don799,rec3526,coveralls,25.0,2020-05-21 16:26:00+00:00,21.814500000000002
4,don773,rec3774,surgicalCaps,20.0,2020-05-21 16:26:00+00:00,31.4605
5,don791,rec3749,handSanitizer,3.0,2020-05-21 16:26:00+00:00,31.4605
6,don799,rec2138,gowns,300.0,2020-05-21 16:26:00+00:00,21.814500000000002
7,don803,rec190,gowns,24.0,2020-05-21 16:26:00+00:00,5.1215
8,don775,rec2480,respirators,20.0,2020-05-21 16:26:00+00:00,5.1215
9,don796,rec2575,respirators,10.0,2020-05-21 16:26:00+00:00,5.1215
10,don771,rec669,faceShields,25.0,2020-05-21 16:26:00+00:00,5.1215
11,don780,rec1278,faceShields,100.0,2020-05-21 16:26:00+00:00,5.1215
12,don789,rec2270,faceShields,5.0,2020-05-21 16:26:00+00:00,5.1215
13,don775,rec723,surgicalMasks,100.0,2020-05-21 16:26:00+00:00,5.1215
14,don777,rec2599,surgicalMasks,15.0,2020-05-21 16:26:00+00:00,5.1215
15,don791,rec3386,surgicalMasks,20.0,2020-05-21 16:26:00+00:00,5.1215
16,don796,rec3208,surgicalMasks,30.0,2020-05-21 16:26:00+00:00,5.1215
17,don805,rec3108,surgicalMasks,980.0,2020-05-21 16:26:00+00:00,5.1215
18,don778,rec1957,handmadeMasks,20.0,2020-05-21 16:26:00+00:00,5.1215
19,don781,rec3407,handmadeMasks,10.0,2020-05-21 16:26:00+00:00,5.1215
20,don782,rec2626,handmadeMasks,30.0,2020-05-21 16:26:00+00:00,5.1215
21,don787,rec1797,handmadeMasks,10.0,2020-05-21 16:26:00+00:00,5.1215
22,don792,rec2130,handmadeMasks,5.0,2020-05-21 16:26:00+00:00,5.1215
23,don802,rec1677,handmadeMasks,2.0,2020-05-21 16:26:00+00:00,31.4605
24,don804,rec1615,handmadeMasks,20.0,2020-05-21 16:26:00+00:00,5.1215
25,don806,rec1337,handmadeMasks,50.0,2020-05-21 16:26:00+00:00,5.1215
26,don64,rec3767,printedFaceShields,10.0,2020-05-21 16:26:00+00:00,5.1215
27,don65,rec3760,printedFaceShields,300.0,2020-05-21 16:26:00+00:00,5.1215
28,don654,rec3734,printedFaceShields,6.0,2020-05-21 16:26:00+00:00,5.1215
29,don657,rec3720,printedFaceShields,10.0,2020-05-21 16:26:00+00:00,5.1215
30,don658,rec3749,printedFaceShields,10.0,2020-05-21 16:26:00+00:00,5.1215
31,don67,rec3759,printedFaceShields,20.0,2020-05-21 16:26:00+00:00,5.1215
32,don676,rec3720,printedFaceShields,90.0,2020-05-21 16:26:00+00:00,13.9625
33,don68,rec3750,printedFaceShields,10.0,2020-05-21 16:26:00+00:00,287.5555
34,don69,rec3720,printedFaceShields,20.0,2020-05-21 16:26:00+00:00,685.0084999999999
35,don697,rec3739,printedFaceShields,20.0,2020-05-21 16:26:00+00:00,257.8485
36,don706,rec3733,printedFaceShields,8.0,2020-05-21 16:26:00+00:00,21.814500000000002
37,don71,rec3793,printedFaceShields,10.0,2020-05-21 16:26:00+00:00,387.0505
38,don712,rec3769,printedFaceShields,40.0,2020-05-21 16:26:00+00:00,171.4935
39,don715,rec3793,printedFaceShields,60.0,2020-05-21 16:26:00+00:00,937.9275
40,don716,rec3793,printedFaceShields,30.0,2020-05-21 16:26:00+00:00,209.404
