,don_id,ppe,date,qty
0,don878,disposableBooties,2020-06-11 16:43:52.745000+00:00,100.0
1,don879,disposableBooties,2020-06-11 18:42:05.974000+00:00,1000.0
2,don882,coveralls,2020-06-12 00:14:54.468000+00:00,1.0
3,don883,handmadeMasks,2020-06-12 15:43:25.760000+00:00,226.0
4,don885,handmadeMasks,2020-06-12 19:37:32.454000+00:00,25.0
5,don888,respirators,2020-06-13 00:29:26.188000+00:00,1000.0
6,don890,surgicalMasks,2020-06-15 07:23:05.223000+00:00,1000.0
7,don891,faceShields,2020-06-15 12:26:47.622000+00:00,200.0
8,don893,faceShields,2020-06-15 15:42:34.930000+00:00,100.0
9,don893,gowns,2020-06-15 15:42:34.930000+00:00,100.0
10,don895,surgicalMasks,2020-06-16 07:19:38.470000+00:00,50.0
11,don899,printedFaceShields,2020-06-16 17:14:41.755000+00:00,36.0
12,don900,handmadeMasks,2020-06-16 20:00:52.173000+00:00,100.0
13,don901,surgicalMasks,2020-06-16 20:08:31.054000+00:00,60.0
14,don902,disinfectingWipes,2020-06-17 17:15:51.479000+00:00,10.0
15,don903,faceShields,2020-06-18 15:56:13.521000+00:00,500.0
