,don_id,rec_id,ppe,qty,date,distance
0,don102,rec1421,respirators,1.0,2020-04-22 16:26:00+00:00,5.1215
1,don103,rec1043,respirators,2.0,2020-04-22 16:26:00+00:00,5.1215
2,don107,rec542,respirators,40.0,2020-04-22 16:26:00+00:00,31.4605
3,don129,rec2220,respirators,20.0,2020-04-22 16:26:00+00:00,5.1215
4,don134,rec1050,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
5,don135,rec1983,respirators,5.0,2020-04-22 16:26:00+00:00,5.1215
6,don139,rec49,respirators,100.0,2020-04-22 16:26:00+00:00,5.1215
7,don142,rec1496,respirators,30.0,2020-04-22 16:26:00+00:00,5.1215
8,don143,rec888,respirators,15.0,2020-04-22 16:26:00+00:00,5.1215
9,don169,rec1403,respirators,1.0,2020-04-22 16:26:00+00:00,5.1215
10,don172,rec2220,respirators,4.0,2020-04-22 16:26:00+00:00,5.1215
11,don174,rec539,respirators,200.0,2020-04-22 16:26:00+00:00,5.1215
12,don176,rec563,respirators,8.0,2020-04-22 16:26:00+00:00,5.1215
13,don177,rec1953,respirators,8.0,2020-04-22 16:26:00+00:00,5.1215
14,don183,rec2083,respirators,3.0,2020-04-22 16:26:00+00:00,5.1215
15,don194,rec819,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
16,don206,rec1819,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
17,don214,rec292,respirators,100.0,2020-04-22 16:26:00+00:00,5.1215
18,don221,rec1477,respirators,5.0,2020-04-22 16:26:00+00:00,31.4605
19,don232,rec2211,respirators,4.0,2020-04-22 16:26:00+00:00,5.1215
20,don236,rec850,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
21,don249,rec658,respirators,20.0,2020-04-22 16:26:00+00:00,5.1215
22,don252,rec2221,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
23,don253,rec298,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
24,don268,rec2135,respirators,2.0,2020-04-22 16:26:00+00:00,45.4975
25,don293,rec2107,respirators,10.0,2020-04-22 16:26:00+00:00,5.1215
26,don297,rec2173,respirators,4.0,2020-04-22 16:26:00+00:00,5.1215
27,don305,rec1188,respirators,16.0,2020-04-22 16:26:00+00:00,5.1215
28,don78,rec73,respirators,20.0,2020-04-22 16:26:00+00:00,5.1215
29,don93,rec2591,respirators,3.0,2020-04-22 16:26:00+00:00,5.1215
30,don98,rec1106,respirators,1.0,2020-04-22 16:26:00+00:00,5.1215
31,don128,rec1050,faceShields,100.0,2020-04-22 16:26:00+00:00,5.1215
32,don271,rec744,faceShields,30.0,2020-04-22 16:26:00+00:00,5.1215
33,don282,rec864,faceShields,300.0,2020-04-22 16:26:00+00:00,5.1215
34,don295,rec2421,faceShields,2.0,2020-04-22 16:26:00+00:00,146.46300000000002
35,don114,rec1,disinfectingWipes,4.0,2020-04-22 16:26:00+00:00,5.1215
36,don216,rec1166,disinfectingWipes,50.0,2020-04-22 16:26:00+00:00,5.1215
37,don254,rec1792,disinfectingWipes,3.0,2020-04-22 16:26:00+00:00,5.1215
38,don200,rec1181,gowns,49.0,2020-04-22 16:26:00+00:00,5.1215
39,don173,rec1165,handSanitizer,1.0,2020-04-22 16:26:00+00:00,5.1215
40,don196,rec1208,handSanitizer,10.0,2020-04-22 16:26:00+00:00,5.1215
41,don109,rec1549,handmadeMasks,25.0,2020-04-22 16:26:00+00:00,13.9625
42,don112,rec715,handmadeMasks,70.0,2020-04-22 16:26:00+00:00,5.1215
43,don122,rec1139,handmadeMasks,18.0,2020-04-22 16:26:00+00:00,21.814500000000002
44,don123,rec1004,handmadeMasks,30.0,2020-04-22 16:26:00+00:00,5.1215
45,don124,rec1867,handmadeMasks,200.0,2020-04-22 16:26:00+00:00,5.1215
46,don125,rec1806,handmadeMasks,30.0,2020-04-22 16:26:00+00:00,5.1215
47,don141,rec1948,handmadeMasks,200.0,2020-04-22 16:26:00+00:00,5.1215
48,don147,rec714,handmadeMasks,50.0,2020-04-22 16:26:00+00:00,5.1215
49,don148,rec1562,handmadeMasks,20.0,2020-04-22 16:26:00+00:00,5.1215
50,don149,rec1930,handmadeMasks,50.0,2020-04-22 16:26:00+00:00,21.814500000000002
51,don150,rec230,handmadeMasks,200.0,2020-04-22 16:26:00+00:00,5.1215
52,don160,rec849,handmadeMasks,1.0,2020-04-22 16:26:00+00:00,5.1215
53,don161,rec1,handmadeMasks,9.0,2020-04-22 16:26:00+00:00,5.1215
54,don163,rec2127,handmadeMasks,100.0,2020-04-22 16:26:00+00:00,5.1215
55,don164,rec2047,handmadeMasks,50.0,2020-04-22 16:26:00+00:00,5.1215
56,don165,rec893,handmadeMasks,5.0,2020-04-22 16:26:00+00:00,5.1215
57,don166,rec1983,handmadeMasks,10.0,2020-04-22 16:26:00+00:00,5.1215
58,don170,rec2339,handmadeMasks,25.0,2020-04-22 16:26:00+00:00,5.1215
59,don178,rec37,handmadeMasks,30.0,2020-04-22 16:26:00+00:00,5.1215
60,don179,rec770,handmadeMasks,60.0,2020-04-22 16:26:00+00:00,5.1215
61,don180,rec671,handmadeMasks,50.0,2020-04-22 16:26:00+00:00,5.1215
62,don181,rec1957,handmadeMasks,5.0,2020-04-22 16:26:00+00:00,5.1215
63,don182,rec2653,handmadeMasks,5.0,2020-04-22 16:26:00+00:00,5.1215
