,don_id,rec_id,distance
0,don100,rec0,2548.16
1,don100,rec1,2438.295
2,don100,rec1000,171.4935
3,don100,rec1001,45.4975
4,don100,rec1004,31.4605
5,don100,rec1006,1646.1675
6,don100,rec1008,45.4975
7,don100,rec1009,31.4605
8,don100,rec101,257.8485
9,don100,rec1011,612.837
10,don100,rec1012,2563.2325
11,don100,rec1017,45.4975
12,don100,rec1018,411.125
13,don100,rec1022,708.585
14,don100,rec1023,2456.6575000000003
15,don100,rec1024,411.125
16,don100,rec1026,2438.295
17,don100,rec1028,708.585
18,don100,rec1029,2456.6575000000003
19,don100,rec103,1029.376
20,don100,rec1030,2548.16
21,don100,rec1031,659.2950000000001
22,don100,rec1034,2438.295
23,don100,rec1035,67.313
24,don100,rec1036,1361.0639999999999
25,don100,rec1038,2548.16
26,don100,rec1039,2472.84
27,don100,rec104,1326.1255
28,don100,rec1043,171.4935
29,don100,rec1044,727.3615
30,don100,rec1045,1361.0639999999999
31,don100,rec1046,230.40949999999998
32,don100,rec1048,191.25650000000002
33,don100,rec1049,67.313
34,don100,rec105,45.4975
35,don100,rec1051,67.313
36,don100,rec1055,171.4935
37,don100,rec1056,727.3615
38,don100,rec1057,892.107
39,don100,rec1058,612.837
40,don100,rec1059,230.40949999999998
41,don100,rec1060,67.313
42,don100,rec1061,892.107
43,don100,rec1062,1057.0585
44,don100,rec1064,171.4935
45,don100,rec1065,1153.0394999999999
46,don100,rec1067,171.4935
47,don100,rec1068,708.585
48,don100,rec1075,708.585
49,don100,rec108,1361.0639999999999
50,don100,rec1085,747.8325
51,don100,rec1086,312.05600000000004
52,don100,rec1087,230.40949999999998
53,don100,rec109,1280.471
54,don100,rec1090,1086.496
55,don100,rec1091,1361.0639999999999
56,don100,rec1095,2496.931
57,don100,rec1098,2472.84
58,don100,rec110,727.3615
59,don100,rec1100,892.107
60,don100,rec1101,67.313
61,don100,rec1103,1326.1255
62,don100,rec1104,191.25650000000002
63,don100,rec1107,916.9045
64,don100,rec111,1893.2645
65,don100,rec1111,45.4975
66,don100,rec1112,2155.799
67,don100,rec1113,146.46300000000002
68,don100,rec1114,2496.931
69,don100,rec1118,747.8325
70,don100,rec1119,727.3615
71,don100,rec1121,2447.0240000000003
72,don100,rec1124,411.125
73,don100,rec1125,230.40949999999998
74,don100,rec1129,312.05600000000004
75,don100,rec1131,1326.1255
76,don100,rec1132,1086.496
77,don100,rec1134,1361.0639999999999
78,don100,rec1136,171.4935
79,don100,rec1138,230.40949999999998
80,don100,rec1139,2472.84
81,don100,rec114,800.7660000000001
82,don100,rec1141,892.107
83,don100,rec1143,1029.376
84,don100,rec1144,2548.16
85,don100,rec1145,2438.295
86,don100,rec1147,916.9045
87,don100,rec115,1280.471
88,don100,rec1152,866.1279999999999
89,don100,rec1153,2095.107
90,don100,rec1155,2496.931
91,don100,rec1156,2155.799
92,don100,rec116,980.8045
93,don100,rec1160,2447.0240000000003
94,don100,rec1166,171.4935
95,don100,rec1167,230.40949999999998
96,don100,rec1169,146.46300000000002
97,don100,rec117,980.8045
98,don100,rec1170,866.1279999999999
99,don100,rec1174,146.46300000000002
100,don100,rec1175,45.4975
101,don100,rec1176,2578.38
102,don100,rec1177,67.313
103,don100,rec1178,171.4935
104,don100,rec1179,257.8485
105,don100,rec1182,1464.1484999999998
106,don100,rec1183,1464.1484999999998
107,don100,rec1184,2415.7664999999997
108,don100,rec1185,612.837
109,don100,rec1186,2525.0110000000004
110,don100,rec1187,2415.7664999999997
111,don100,rec119,727.3615
112,don100,rec1190,2127.9300000000003
113,don100,rec1192,708.585
114,don100,rec1195,1029.376
115,don100,rec1196,2428.357
116,don100,rec1200,146.46300000000002
117,don100,rec1201,2563.2325
118,don100,rec1205,2447.0240000000003
119,don100,rec1207,191.25650000000002
120,don100,rec1209,209.404
121,don100,rec121,117.8545
122,don100,rec1210,1057.0585
123,don100,rec1212,209.404
124,don100,rec1213,727.3615
125,don100,rec1215,563.1355
126,don100,rec1217,287.5555
127,don100,rec1221,747.8325
128,don100,rec1224,2230.676
129,don100,rec1225,230.40949999999998
130,don100,rec1226,1029.376
131,don100,rec1228,502.35350000000005
132,don100,rec123,659.2950000000001
133,don100,rec1230,563.1355
134,don100,rec1232,287.5555
135,don100,rec1233,2230.676
136,don100,rec1238,1361.0639999999999
137,don100,rec1240,117.8545
138,don100,rec1241,117.8545
139,don100,rec1242,171.4935
140,don100,rec1243,146.46300000000002
141,don100,rec1248,1393.7514999999999
142,don100,rec1249,1004.607
143,don100,rec125,209.404
144,don100,rec1250,171.4935
145,don100,rec1251,635.801
146,don100,rec1253,1117.795
147,don100,rec1254,659.2950000000001
148,don100,rec1255,659.2950000000001
149,don100,rec1256,1574.7820000000002
150,don100,rec1257,191.25650000000002
151,don100,rec1258,1962.951
152,don100,rec1259,502.35350000000005
153,don100,rec126,209.404
154,don100,rec1263,92.1265
155,don100,rec1264,171.4935
156,don100,rec1265,67.313
157,don100,rec1269,747.8325
158,don100,rec127,708.585
159,don100,rec1271,1029.376
160,don100,rec1272,659.2950000000001
161,don100,rec1273,2415.7664999999997
162,don100,rec1275,727.3615
163,don100,rec1277,45.4975
164,don100,rec1278,2415.7664999999997
165,don100,rec1283,2563.2325
166,don100,rec1285,1464.1484999999998
167,don100,rec1289,708.585
168,don100,rec129,171.4935
169,don100,rec1291,2525.0110000000004
170,don100,rec1292,612.837
171,don100,rec1293,2415.7664999999997
172,don100,rec1297,2548.16
173,don100,rec1298,2127.9300000000003
