,don_id,rec_id,ppe,qty,date,distance
0,don853,rec1004,handmadeMasks,100.0,2020-06-04 16:26:00+00:00,470.42600000000004
1,don36,rec3641,printedFaceShields,48.0,2020-06-04 16:26:00+00:00,685.0084999999999
2,don369,rec3685,printedFaceShields,40.0,2020-06-04 16:26:00+00:00,1930.853
3,don37,rec3804,printedFaceShields,70.0,2020-06-04 16:26:00+00:00,1962.951
4,don375,rec3817,printedFaceShields,100.0,2020-06-04 16:26:00+00:00,892.107
5,don379,rec3821,printedFaceShields,50.0,2020-06-04 16:26:00+00:00,2155.799
6,don38,rec3823,printedFaceShields,15.0,2020-06-04 16:26:00+00:00,1810.382
7,don388,rec3826,printedFaceShields,600.0,2020-06-04 16:26:00+00:00,1851.429
8,don389,rec3837,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,257.8485
9,don40,rec3838,printedFaceShields,9.0,2020-06-04 16:26:00+00:00,439.467
10,don41,rec3858,printedFaceShields,100.0,2020-06-04 16:26:00+00:00,1117.795
11,don418,rec3882,printedFaceShields,50.0,2020-06-04 16:26:00+00:00,1646.1675
12,don419,rec3887,printedFaceShields,80.0,2020-06-04 16:26:00+00:00,171.4935
13,don42,rec3899,printedFaceShields,500.0,2020-06-04 16:26:00+00:00,2288.321
14,don424,rec3910,printedFaceShields,40.0,2020-06-04 16:26:00+00:00,13.9625
15,don425,rec3920,printedFaceShields,40.0,2020-06-04 16:26:00+00:00,117.8545
16,don431,rec3936,printedFaceShields,100.0,2020-06-04 16:26:00+00:00,312.05600000000004
17,don432,rec3951,printedFaceShields,3.0,2020-06-04 16:26:00+00:00,411.125
18,don44,rec3952,printedFaceShields,25.0,2020-06-04 16:26:00+00:00,2399.879
19,don45,rec3953,printedFaceShields,20.0,2020-06-04 16:26:00+00:00,287.5555
20,don459,rec3958,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,2525.0110000000004
21,don46,rec3959,printedFaceShields,14.0,2020-06-04 16:26:00+00:00,800.7660000000001
22,don460,rec3964,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,2496.931
23,don47,rec3974,printedFaceShields,12.0,2020-06-04 16:26:00+00:00,843.505
24,don475,rec3978,printedFaceShields,18.0,2020-06-04 16:26:00+00:00,1393.7514999999999
25,don48,rec4025,printedFaceShields,5.0,2020-06-04 16:26:00+00:00,1117.795
26,don482,rec4073,printedFaceShields,20.0,2020-06-04 16:26:00+00:00,843.505
27,don483,rec4077,printedFaceShields,50.0,2020-06-04 16:26:00+00:00,312.05600000000004
28,don5,rec4081,printedFaceShields,4.0,2020-06-04 16:26:00+00:00,1962.951
29,don50,rec4086,printedFaceShields,6.0,2020-06-04 16:26:00+00:00,13.9625
30,don500,rec4103,printedFaceShields,15.0,2020-06-04 16:26:00+00:00,937.9275
31,don505,rec4104,printedFaceShields,100.0,2020-06-04 16:26:00+00:00,2265.161
32,don507,rec4135,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,2095.107
33,don508,rec4144,printedFaceShields,55.0,2020-06-04 16:26:00+00:00,92.1265
34,don52,rec4145,printedFaceShields,50.0,2020-06-04 16:26:00+00:00,1213.853
35,don520,rec4148,printedFaceShields,100.0,2020-06-04 16:26:00+00:00,1609.719
36,don521,rec4151,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,980.8045
37,don523,rec4153,printedFaceShields,20.0,2020-06-04 16:26:00+00:00,773.424
38,don529,rec4155,printedFaceShields,20.0,2020-06-04 16:26:00+00:00,1464.1484999999998
39,don53,rec4165,printedFaceShields,200.0,2020-06-04 16:26:00+00:00,5.1215
40,don530,rec4190,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,823.6755
41,don538,rec4200,printedFaceShields,35.0,2020-06-04 16:26:00+00:00,21.814500000000002
42,don551,rec4235,printedFaceShields,20.0,2020-06-04 16:26:00+00:00,331.023
43,don56,rec4246,printedFaceShields,15.0,2020-06-04 16:26:00+00:00,2127.9300000000003
44,don57,rec4285,printedFaceShields,9.0,2020-06-04 16:26:00+00:00,589.607
45,don58,rec4314,printedFaceShields,50.0,2020-06-04 16:26:00+00:00,1393.7514999999999
46,don585,rec4315,printedFaceShields,1.0,2020-06-04 16:26:00+00:00,1537.2215
47,don59,rec4320,printedFaceShields,20.0,2020-06-04 16:26:00+00:00,2155.799
48,don6,rec4321,printedFaceShields,6.0,2020-06-04 16:26:00+00:00,2095.107
49,don60,rec4346,printedFaceShields,30.0,2020-06-04 16:26:00+00:00,2380.3495
50,don61,rec4351,printedFaceShields,7.0,2020-06-04 16:26:00+00:00,2415.7664999999997
51,don62,rec4353,printedFaceShields,15.0,2020-06-04 16:26:00+00:00,1646.1675
52,don621,rec4365,printedFaceShields,7.0,2020-06-04 16:26:00+00:00,439.467
53,don626,rec4380,printedFaceShields,2.0,2020-06-04 16:26:00+00:00,209.404
54,don63,rec4382,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,1117.795
55,don633,rec4383,printedFaceShields,10.0,2020-06-04 16:26:00+00:00,2127.9300000000003
56,don64,rec4421,printedFaceShields,2.0,2020-06-04 16:26:00+00:00,2578.38
57,don851,rec1037,surgicalMasks,250.0,2020-06-04 16:26:00+00:00,5.1215
58,don854,rec0,faceShields,112.0,2020-06-04 16:26:00+00:00,659.2950000000001
59,don858,rec1004,faceShields,643.0,2020-06-04 16:26:00+00:00,1086.496
