,don_id,ppe,date,qty
0,don168,printedFaceShields,2020-04-19 04:00:00+00:00,150.0
1,don17,printedFaceShields,2020-04-10 20:40:00+00:00,30.0
2,don18,printedFaceShields,2020-04-10 21:04:00+00:00,50.0
3,don19,printedFaceShields,2020-04-10 23:57:00+00:00,30.0
4,don195,printedFaceShields,2020-04-19 04:00:00+00:00,30.0
5,don199,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
6,don20,printedFaceShields,2020-04-11 12:09:00+00:00,1000.0
7,don21,printedFaceShields,2020-04-11 18:00:00+00:00,70.0
8,don217,printedFaceShields,2020-04-19 04:00:00+00:00,11.0
9,don218,printedFaceShields,2020-04-19 04:00:00+00:00,40.0
10,don219,printedFaceShields,2020-04-19 04:00:00+00:00,500.0
11,don22,printedFaceShields,2020-04-11 18:22:00+00:00,50.0
12,don223,printedFaceShields,2020-04-19 04:00:00+00:00,500.0
13,don224,printedFaceShields,2020-04-19 04:00:00+00:00,200.0
14,don229,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
15,don23,printedFaceShields,2020-04-11 21:04:00+00:00,50.0
16,don231,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
17,don234,printedFaceShields,2020-04-19 04:00:00+00:00,200.0
18,don235,printedFaceShields,2020-04-19 04:00:00+00:00,1000.0
19,don237,printedFaceShields,2020-04-10 19:27:00+00:00,10.0
20,don24,printedFaceShields,2020-04-12 11:39:00+00:00,5.0
21,don240,printedFaceShields,2020-04-19 04:00:00+00:00,15.0
22,don242,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
23,don25,printedFaceShields,2020-04-12 15:57:00+00:00,50.0
24,don257,printedFaceShields,2020-04-19 13:28:00+00:00,30.0
25,don258,printedFaceShields,2020-04-19 17:09:00+00:00,1000.0
26,don259,printedFaceShields,2020-04-19 17:50:00+00:00,1.0
27,don26,printedFaceShields,2020-04-13 10:09:00+00:00,35.0
28,don260,printedFaceShields,2020-04-19 19:39:00+00:00,50.0
29,don261,printedFaceShields,2020-04-20 09:23:00+00:00,17.0
30,don262,printedFaceShields,2020-04-20 10:49:00+00:00,40.0
31,don264,printedFaceShields,2020-04-20 17:21:39.103000+00:00,600.0
32,don265,printedFaceShields,2020-04-20 17:30:23.989000+00:00,5.0
33,don267,printedFaceShields,2020-04-20 17:46:23.746000+00:00,50.0
34,don27,printedFaceShields,2020-04-13 10:22:00+00:00,100.0
35,don272,printedFaceShields,2020-04-20 19:59:08.633000+00:00,70.0
36,don274,printedFaceShields,2020-04-20 20:39:07.363000+00:00,50.0
37,don28,printedFaceShields,2020-04-13 11:19:00+00:00,100.0
38,don280,printedFaceShields,2020-04-21 03:25:37.143000+00:00,25.0
39,don284,printedFaceShields,2020-04-21 14:39:33.163000+00:00,20.0
40,don289,printedFaceShields,2020-04-21 16:38:16.509000+00:00,100.0
41,don290,printedFaceShields,2020-04-21 16:45:45.569000+00:00,30.0
42,don299,printedFaceShields,2020-04-21 20:19:46.455000+00:00,40.0
43,don3,printedFaceShields,2020-04-09 14:24:00+00:00,5.0
44,don30,printedFaceShields,2020-04-13 12:46:00+00:00,1.0
45,don302,printedFaceShields,2020-04-22 01:05:54.853000+00:00,80.0
46,don307,printedFaceShields,2020-04-22 14:16:56.153000+00:00,70.0
