,don_id,rec_id,ppe,qty,date,distance
0,don755,rec1733,disinfectingWipes,20.0,2020-05-14 16:26:00+00:00,21.814500000000002
1,don696,rec3503,disposableBooties,4.0,2020-05-14 16:26:00+00:00,5.1215
2,don696,rec764,nitrileGloves,4.0,2020-05-14 16:26:00+00:00,5.1215
3,don727,rec1036,nitrileGloves,50.0,2020-05-14 16:26:00+00:00,5.1215
4,don684,rec3610,coveralls,96.0,2020-05-14 16:26:00+00:00,13.9625
5,don701,rec3457,coveralls,3.0,2020-05-14 16:26:00+00:00,13.9625
6,don711,rec3707,coveralls,6.0,2020-05-14 16:26:00+00:00,5.1215
7,don730,rec3711,coveralls,7.0,2020-05-14 16:26:00+00:00,13.9625
8,don765,rec3610,coveralls,50.0,2020-05-14 16:26:00+00:00,13.9625
9,don770,rec3642,coveralls,15.0,2020-05-14 16:26:00+00:00,21.814500000000002
10,don708,rec186,handSanitizer,500.0,2020-05-14 16:26:00+00:00,5.1215
11,don755,rec3487,handSanitizer,2.0,2020-05-14 16:26:00+00:00,13.9625
12,don770,rec1346,handSanitizer,1.0,2020-05-14 16:26:00+00:00,21.814500000000002
13,don702,rec1549,respirators,50.0,2020-05-14 16:26:00+00:00,5.1215
14,don717,rec2852,respirators,40.0,2020-05-14 16:26:00+00:00,67.313
15,don724,rec2216,respirators,5.0,2020-05-14 16:26:00+00:00,67.313
16,don725,rec3574,respirators,25.0,2020-05-14 16:26:00+00:00,5.1215
17,don727,rec3336,respirators,1.0,2020-05-14 16:26:00+00:00,5.1215
18,don728,rec2036,respirators,5.0,2020-05-14 16:26:00+00:00,5.1215
19,don729,rec1514,respirators,15.0,2020-05-14 16:26:00+00:00,5.1215
20,don731,rec1584,respirators,2.0,2020-05-14 16:26:00+00:00,5.1215
21,don732,rec17,respirators,5.0,2020-05-14 16:26:00+00:00,5.1215
22,don735,rec1656,respirators,20.0,2020-05-14 16:26:00+00:00,5.1215
23,don760,rec3348,respirators,3.0,2020-05-14 16:26:00+00:00,5.1215
24,don763,rec1294,respirators,22.0,2020-05-14 16:26:00+00:00,5.1215
25,don764,rec2188,respirators,20.0,2020-05-14 16:26:00+00:00,5.1215
26,don676,rec2328,surgicalMasks,100.0,2020-05-14 16:26:00+00:00,21.814500000000002
27,don677,rec2685,surgicalMasks,100.0,2020-05-14 16:26:00+00:00,5.1215
28,don704,rec2494,surgicalMasks,50.0,2020-05-14 16:26:00+00:00,5.1215
29,don711,rec1257,surgicalMasks,200.0,2020-05-14 16:26:00+00:00,5.1215
30,don713,rec2120,surgicalMasks,5.0,2020-05-14 16:26:00+00:00,5.1215
31,don743,rec1280,surgicalMasks,30.0,2020-05-14 16:26:00+00:00,5.1215
32,don752,rec1635,surgicalMasks,500.0,2020-05-14 16:26:00+00:00,5.1215
33,don760,rec3348,surgicalMasks,3.0,2020-05-14 16:26:00+00:00,5.1215
34,don763,rec2416,surgicalMasks,70.0,2020-05-14 16:26:00+00:00,5.1215
35,don682,rec3396,faceShields,2.0,2020-05-14 16:26:00+00:00,5.1215
36,don686,rec2636,faceShields,20.0,2020-05-14 16:26:00+00:00,5.1215
37,don692,rec2104,faceShields,3.0,2020-05-14 16:26:00+00:00,5.1215
38,don701,rec513,faceShields,380.0,2020-05-14 16:26:00+00:00,5.1215
