,don_id,rec_id,ppe,qty,date,distance
0,don279,rec3439,safetyGoggles,4.0,2020-05-07 16:26:00+00:00,843.505
1,don410,rec3444,safetyGoggles,2.0,2020-05-07 16:26:00+00:00,2415.7664999999997
2,don478,rec3447,safetyGoggles,2.0,2020-05-07 16:26:00+00:00,843.505
3,don488,rec3448,safetyGoggles,20.0,2020-05-07 16:26:00+00:00,2428.357
4,don501,rec3449,safetyGoggles,1.0,2020-05-07 16:26:00+00:00,937.9275
5,don533,rec3476,safetyGoggles,3.0,2020-05-07 16:26:00+00:00,1393.7514999999999
6,don624,rec3482,safetyGoggles,100.0,2020-05-07 16:26:00+00:00,747.8325
7,don662,rec3487,safetyGoggles,1.0,2020-05-07 16:26:00+00:00,747.8325
8,don671,rec3490,safetyGoggles,20.0,2020-05-07 16:26:00+00:00,747.8325
9,don0,rec3444,printedFaceShields,10.0,2020-05-07 16:26:00+00:00,257.8485
10,don1,rec3445,printedFaceShields,1.0,2020-05-07 16:26:00+00:00,257.8485
11,don10,rec3447,printedFaceShields,20.0,2020-05-07 16:26:00+00:00,2548.16
12,don104,rec3457,printedFaceShields,2.0,2020-05-07 16:26:00+00:00,563.1355
13,don105,rec3476,printedFaceShields,20.0,2020-05-07 16:26:00+00:00,2288.321
14,don108,rec3484,printedFaceShields,20.0,2020-05-07 16:26:00+00:00,21.814500000000002
15,don11,rec3488,printedFaceShields,25.0,2020-05-07 16:26:00+00:00,1574.7820000000002
16,don115,rec3490,printedFaceShields,20.0,2020-05-07 16:26:00+00:00,470.42600000000004
17,don12,rec3504,printedFaceShields,20.0,2020-05-07 16:26:00+00:00,146.46300000000002
18,don13,rec3508,printedFaceShields,5.0,2020-05-07 16:26:00+00:00,2230.676
19,don132,rec3516,printedFaceShields,9.0,2020-05-07 16:26:00+00:00,5.1215
20,don133,rec3521,printedFaceShields,10.0,2020-05-07 16:26:00+00:00,1609.719
21,don136,rec3538,printedFaceShields,9.0,2020-05-07 16:26:00+00:00,2438.295
22,don137,rec3555,printedFaceShields,15.0,2020-05-07 16:26:00+00:00,331.023
23,don138,rec3558,printedFaceShields,4.0,2020-05-07 16:26:00+00:00,312.05600000000004
24,don14,rec3562,printedFaceShields,10.0,2020-05-07 16:26:00+00:00,1241.0365000000002
25,don140,rec3567,printedFaceShields,50.0,2020-05-07 16:26:00+00:00,823.6755
26,don144,rec3577,printedFaceShields,100.0,2020-05-07 16:26:00+00:00,146.46300000000002
27,don582,rec1004,handSanitizer,1.0,2020-05-07 16:26:00+00:00,1719.783
28,don608,rec1008,handSanitizer,2.0,2020-05-07 16:26:00+00:00,659.2950000000001
29,don630,rec0,gowns,1.0,2020-05-07 16:26:00+00:00,708.585
30,don544,rec0,nitrileGloves,100.0,2020-05-07 16:26:00+00:00,708.585
31,don582,rec1,nitrileGloves,3.0,2020-05-07 16:26:00+00:00,727.3615
32,don594,rec1004,nitrileGloves,100.0,2020-05-07 16:26:00+00:00,727.3615
33,don634,rec1009,nitrileGloves,50.0,2020-05-07 16:26:00+00:00,727.3615
34,don636,rec101,nitrileGloves,1.0,2020-05-07 16:26:00+00:00,727.3615
