,don_id,rec_id,distance
0,don952,rec1004,31.4605
1,don952,rec1009,31.4605
2,don952,rec1052,2155.799
3,don952,rec1093,1326.1255
4,don952,rec1103,1326.1255
5,don952,rec1108,727.3615
6,don952,rec1131,1326.1255
7,don952,rec1140,1117.795
8,don952,rec1165,5.1215
9,don952,rec1169,117.8545
10,don952,rec1170,892.107
11,don952,rec1174,117.8545
12,don952,rec1176,2578.38
13,don952,rec1177,21.814500000000002
14,don952,rec1194,92.1265
15,don952,rec120,312.05600000000004
16,don952,rec1207,146.46300000000002
17,don952,rec121,67.313
18,don952,rec1211,866.1279999999999
19,don952,rec1219,21.814500000000002
20,don952,rec1220,659.2950000000001
21,don952,rec1221,747.8325
22,don952,rec1222,331.023
23,don952,rec1231,2127.9300000000003
24,don952,rec1233,2230.676
25,don952,rec1237,2496.931
26,don952,rec1239,563.1355
27,don952,rec124,439.467
28,don952,rec1248,1428.569
29,don952,rec1250,209.404
30,don952,rec1251,659.2950000000001
31,don952,rec1253,1086.496
32,don952,rec1254,708.585
33,don952,rec1256,1609.719
34,don952,rec1257,230.40949999999998
35,don952,rec1263,45.4975
36,don952,rec127,708.585
37,don952,rec1271,1004.607
38,don952,rec1279,67.313
39,don952,rec1280,708.585
40,don952,rec1283,2563.2325
41,don952,rec1286,866.1279999999999
42,don952,rec1287,2447.0240000000003
43,don952,rec129,209.404
44,don952,rec1293,2428.357
45,don952,rec1296,1810.382
46,don952,rec13,773.424
47,don952,rec130,1086.496
48,don952,rec1300,331.023
49,don952,rec1301,2456.6575000000003
50,don952,rec1302,146.46300000000002
51,don952,rec1303,1004.607
52,don952,rec1310,2127.9300000000003
53,don952,rec1314,659.2950000000001
54,don952,rec1318,1609.719
55,don952,rec1320,2472.84
56,don952,rec1321,21.814500000000002
57,don952,rec1322,2496.931
58,don952,rec1325,2230.676
59,don952,rec1326,2399.879
60,don952,rec1327,563.1355
61,don952,rec1329,659.2950000000001
62,don952,rec133,1428.569
63,don952,rec1333,2563.2325
64,don952,rec1334,209.404
65,don952,rec1337,230.40949999999998
66,don952,rec1338,2127.9300000000003
