,don_id,ppe,date,qty
0,don953,handmadeMasks,2020-07-09 21:44:45.158000+00:00,281.0
1,don955,respirators,2020-07-10 00:42:21.733000+00:00,5.0
2,don957,coveralls,2020-07-10 03:25:28.998000+00:00,5.0
3,don957,surgicalMasks,2020-07-10 03:25:28.998000+00:00,20.0
4,don958,handmadeMasks,2020-07-10 03:59:11.144000+00:00,40.0
5,don960,faceShields,2020-07-10 18:17:27.935000+00:00,1000.0
6,don961,handmadeMasks,2020-07-11 02:53:46.422000+00:00,30.0
7,don962,handSanitizer,2020-07-11 21:44:34.636000+00:00,3.0
8,don963,handmadeMasks,2020-07-12 17:51:43.377000+00:00,15.0
9,don965,handmadeMasks,2020-07-14 04:06:52.827000+00:00,35.0
10,don966,faceShields,2020-07-14 05:06:19.877000+00:00,30.0
11,don967,handmadeMasks,2020-07-14 16:17:09.725000+00:00,100.0
12,don969,disinfectingWipes,2020-07-14 19:59:43.832000+00:00,5.0
13,don970,faceShields,2020-07-16 01:51:49.071000+00:00,200.0
