,don_id,rec_id,ppe,qty,date,distance
0,don871,rec4475,handSanitizer,200.0,2020-06-11 16:26:00+00:00,5.1215
1,don859,rec2866,respirators,8.0,2020-06-11 16:26:00+00:00,5.1215
2,don866,rec709,respirators,1000.0,2020-06-11 16:26:00+00:00,5.1215
3,don868,rec2092,respirators,200.0,2020-06-11 16:26:00+00:00,5.1215
4,don870,rec3315,respirators,20.0,2020-06-11 16:26:00+00:00,5.1215
5,don875,rec156,faceShields,106.0,2020-06-11 16:26:00+00:00,5.1215
6,don861,rec3094,handmadeMasks,20.0,2020-06-11 16:26:00+00:00,5.1215
7,don862,rec1551,handmadeMasks,200.0,2020-06-11 16:26:00+00:00,5.1215
8,don864,rec1504,handmadeMasks,5.0,2020-06-11 16:26:00+00:00,5.1215
9,don873,rec3271,handmadeMasks,2.0,2020-06-11 16:26:00+00:00,67.313
10,don876,rec496,handmadeMasks,104.0,2020-06-11 16:26:00+00:00,21.814500000000002
11,don877,rec3449,handmadeMasks,33.0,2020-06-11 16:26:00+00:00,5.1215
12,don860,rec4897,printedFaceShields,200.0,2020-06-11 16:26:00+00:00,5.1215
13,don865,rec3953,printedFaceShields,20.0,2020-06-11 16:26:00+00:00,117.8545
14,don870,rec4568,printedFaceShields,4.0,2020-06-11 16:26:00+00:00,21.814500000000002
15,don872,rec3899,printedFaceShields,40.0,2020-06-11 16:26:00+00:00,21.814500000000002
16,don874,rec4135,printedFaceShields,10.0,2020-06-11 16:26:00+00:00,21.814500000000002
