,don_id,rec_id,distance
0,don859,rec0,2095.107
1,don859,rec1,1930.853
2,don859,rec10,1609.719
3,don859,rec100,411.125
4,don859,rec1001,635.801
5,don859,rec1002,502.35350000000005
6,don859,rec1003,387.0505
7,don859,rec1004,612.837
8,don859,rec1005,635.801
9,don859,rec1006,1186.5075000000002
10,don859,rec1007,387.0505
11,don859,rec1008,612.837
12,don859,rec1009,612.837
13,don859,rec101,439.467
14,don859,rec1011,209.404
15,don859,rec1012,2095.107
16,don859,rec1013,533.5989999999999
17,don859,rec1014,659.2950000000001
18,don859,rec1015,685.0084999999999
19,don859,rec1017,612.837
20,don859,rec1018,257.8485
21,don859,rec1019,800.7660000000001
22,don859,rec102,635.801
23,don859,rec1020,470.42600000000004
24,don859,rec1021,685.0084999999999
25,don859,rec1022,470.42600000000004
26,don859,rec1023,2095.107
27,don859,rec1024,257.8485
28,don859,rec1025,612.837
29,don859,rec1026,1930.853
30,don859,rec1027,470.42600000000004
31,don859,rec1028,470.42600000000004
32,don859,rec1029,2095.107
33,don859,rec103,659.2950000000001
34,don859,rec1030,2095.107
35,don859,rec1031,146.46300000000002
36,don859,rec1032,612.837
37,don859,rec1033,800.7660000000001
38,don859,rec1034,1930.853
39,don859,rec1035,635.801
40,don859,rec1036,773.424
41,don859,rec1037,1930.853
42,don859,rec1038,2095.107
43,don859,rec1039,2002.767
44,don859,rec104,773.424
45,don859,rec1040,800.7660000000001
46,don859,rec1041,800.7660000000001
47,don859,rec1042,2095.107
48,don859,rec1043,439.467
49,don859,rec1045,773.424
50,don859,rec1046,800.7660000000001
51,don859,rec1047,800.7660000000001
52,don859,rec1048,773.424
53,don859,rec1049,635.801
54,don859,rec105,612.837
55,don859,rec1050,1930.853
56,don859,rec1051,635.801
57,don859,rec1052,1771.381
58,don859,rec1053,800.7660000000001
59,don859,rec1054,2095.107
60,don859,rec1055,439.467
61,don859,rec1057,502.35350000000005
62,don859,rec1059,800.7660000000001
63,don859,rec1060,635.801
64,don859,rec1061,502.35350000000005
65,don859,rec1062,708.585
66,don859,rec1063,92.1265
67,don859,rec1064,439.467
68,don859,rec1065,563.1355
69,don859,rec1066,800.7660000000001
70,don859,rec1067,439.467
71,don859,rec1068,171.4935
72,don859,rec1069,800.7660000000001
73,don859,rec107,146.46300000000002
74,don859,rec1070,1930.853
75,don859,rec1071,727.3615
76,don859,rec1072,747.8325
77,don859,rec1074,1930.853
78,don859,rec1075,171.4935
79,don859,rec1076,823.6755
80,don859,rec1077,823.6755
81,don859,rec1078,533.5989999999999
82,don859,rec1079,727.3615
83,don859,rec108,773.424
84,don859,rec1080,1930.853
85,don859,rec1081,823.6755
86,don859,rec1084,117.8545
87,don859,rec1085,146.46300000000002
88,don859,rec1087,800.7660000000001
89,don859,rec1089,366.27750000000003
90,don859,rec109,727.3615
91,don859,rec1090,612.837
92,don859,rec1091,773.424
93,don859,rec1093,747.8325
