,date,don_id,rec_id,ppe,qty,distance
0,2020-04-09 16:26:00+00:00,don0,rec502,faceShields,10.0,10.359351133643324
1,2020-04-09 16:26:00+00:00,don1,rec1173,faceShields,1.0,10.102130847076703
2,2020-04-09 16:26:00+00:00,don3,rec1283,faceShields,5.0,2.1750265061131184
3,2020-04-16 16:26:00+00:00,don10,rec1261,faceShields,20.0,3.1135436442684563
4,2020-04-16 16:26:00+00:00,don11,rec1571,faceShields,100.0,8.081337287876435
5,2020-04-16 16:26:00+00:00,don12,rec1822,faceShields,5.0,4.55960635310014
6,2020-04-16 16:26:00+00:00,don13,rec1955,faceShields,100.0,6.279187717948639
7,2020-04-16 16:26:00+00:00,don14,rec1385,faceShields,14.0,0.0
8,2020-04-16 16:26:00+00:00,don148,rec553,faceShields,82.0,5.687608982078572
9,2020-04-16 16:26:00+00:00,don16,rec1025,faceShields,400.0,56.09203648988967
10,2020-04-16 16:26:00+00:00,don165,rec1200,faceShields,25.0,13.427025360763247
11,2020-04-16 16:26:00+00:00,don17,rec1148,faceShields,30.0,10.162323501800962
12,2020-04-16 16:26:00+00:00,don18,rec395,faceShields,50.0,4.449675714993153
13,2020-04-16 16:26:00+00:00,don19,rec1247,faceShields,30.0,1.5579463413834742
14,2020-04-16 16:26:00+00:00,don20,rec2067,faceShields,5.0,0.0
15,2020-04-16 16:26:00+00:00,don21,rec410,faceShields,70.0,5.866101221500942
16,2020-04-16 16:26:00+00:00,don22,rec1390,faceShields,50.0,2.499021778092619
17,2020-04-16 16:26:00+00:00,don23,rec1370,faceShields,25.0,4.389414681133699
18,2020-04-16 16:26:00+00:00,don237,rec295,faceShields,10.0,5.919913457903588
19,2020-04-16 16:26:00+00:00,don24,rec536,faceShields,5.0,0.0
20,2020-04-16 16:26:00+00:00,don25,rec738,faceShields,6.0,5.879871295836535
21,2020-04-16 16:26:00+00:00,don26,rec1930,faceShields,35.0,15.494286792696538
22,2020-04-16 16:26:00+00:00,don27,rec2132,faceShields,100.0,0.0
23,2020-04-16 16:26:00+00:00,don28,rec1697,faceShields,100.0,7.100555918521483
24,2020-04-16 16:26:00+00:00,don30,rec962,faceShields,1.0,8.456613882971217
25,2020-04-16 16:26:00+00:00,don31,rec586,faceShields,30.0,3.519835637797382
26,2020-04-16 16:26:00+00:00,don32,rec1807,faceShields,50.0,0.0
27,2020-04-16 16:26:00+00:00,don34,rec1514,faceShields,50.0,22.428927214638534
28,2020-04-16 16:26:00+00:00,don35,rec1213,faceShields,100.0,9.589657215957818
